id,precision,recall,banglasummeval_f1
news-55075456,70.83333333333334,66.66666666666666,68.68686868686869
news-50280907,57.89473684210527,50.0,53.65853658536586
news-54898675,73.91304347826086,50.0,59.64912280701754
news-51381825,93.75,66.66666666666666,77.92207792207792
news-56766795,51.85185185185185,50.0,50.9090909090909
news-51629780,59.09090909090909,83.33333333333334,69.14893617021276
news-41902828,78.57142857142857,50.0,61.111111111111114
news-45332030,84.21052631578947,50.0,62.74509803921568
news-49362977,84.0,50.0,62.6865671641791
news-48872060,72.0,50.0,59.01639344262295
news-48303883,76.47058823529412,66.66666666666666,71.23287671232876
news-44246998,53.57142857142857,83.33333333333334,65.21739130434783
news-46972950,65.21739130434783,50.0,56.60377358490566
news-51217515,82.14285714285714,100.0,90.19607843137254
news-46578414,73.68421052631578,100.0,84.84848484848484
news-50798626,82.35294117647058,16.666666666666664,27.722772277227723
news-48835708,70.83333333333334,83.33333333333334,76.57657657657658
news-42326655,68.96551724137932,83.33333333333334,75.47169811320755
news-46874688,55.00000000000001,50.0,52.38095238095239
news-55242258,80.95238095238095,83.33333333333334,82.12560386473432
news-54159266,79.16666666666666,33.33333333333333,46.913580246913575
news-53929704,64.70588235294117,83.33333333333334,72.8476821192053
news-40652345,72.72727272727273,33.33333333333333,45.71428571428571
news-38298663,76.47058823529412,50.0,60.46511627906977
news-44220246,60.0,83.33333333333334,69.76744186046513
news-47885378,76.0,33.33333333333333,46.34146341463414
news-45083152,80.95238095238095,100.0,89.4736842105263
news-45011087,65.51724137931035,50.0,56.71641791044776
140925_mk_islamic_scholar_is_isis_isil_open_letter,57.692307692307686,33.33333333333333,42.25352112676055
news-49956427,78.57142857142857,16.666666666666664,27.499999999999996
160530_indian_visa_new_system,70.0,33.33333333333333,45.16129032258064
news-44672332,63.33333333333333,50.0,55.88235294117647
news-45387880,78.57142857142857,33.33333333333333,46.80851063829787
news-52621715,69.23076923076923,0.0,0.0
news-55467465,73.68421052631578,33.33333333333333,45.901639344262286
160605_chittaggong_sp_wife_killed,86.36363636363636,83.33333333333334,84.82142857142858
news-48904836,59.375,50.0,54.285714285714285
news-45007894,82.35294117647058,16.666666666666664,27.722772277227723
news-44118154,76.47058823529412,100.0,86.66666666666667
news-44842983,68.75,66.66666666666666,67.6923076923077
news-40867894,44.44444444444444,83.33333333333334,57.971014492753625
news-48795028,63.33333333333333,33.33333333333333,43.678160919540225
news-48808226,71.42857142857143,33.33333333333333,45.45454545454545
news-52829564,66.66666666666666,50.0,57.14285714285714
news-57063900,68.42105263157895,83.33333333333334,75.14450867052025
news-45744692,68.18181818181817,33.33333333333333,44.77611940298507
news-46797204,66.66666666666666,33.33333333333333,44.44444444444444
news-48324350,87.5,66.66666666666666,75.67567567567566
news-55761742,73.68421052631578,83.33333333333334,78.2122905027933
news-39614808,55.00000000000001,66.66666666666666,60.273972602739725
news-51264653,78.94736842105263,83.33333333333334,81.08108108108108
news-56931107,72.22222222222221,66.66666666666666,69.33333333333333
news-47648503,79.3103448275862,50.0,61.33333333333333
news-52518908,63.1578947368421,83.33333333333334,71.8562874251497
news-47766524,81.25,66.66666666666666,73.2394366197183
news-40319155,70.83333333333334,66.66666666666666,68.68686868686869
160418_traficked_bangladeshi_women_unlawfully_kept_in_indian_jails,58.06451612903226,83.33333333333334,68.44106463878329
