id,precision,recall,banglasummeval_f1
news-38298663,55.00000000000001,50.0,52.38095238095239
news-44220246,42.10526315789473,83.33333333333334,55.94405594405594
140925_mk_islamic_scholar_is_isis_isil_open_letter,55.55555555555556,50.0,52.63157894736842
news-49956427,70.0,16.666666666666664,26.923076923076923
news-44672332,59.09090909090909,33.33333333333333,42.62295081967213
160530_indian_visa_new_system,56.52173913043478,50.0,53.06122448979592
news-48904836,34.61538461538461,50.0,40.90909090909091
news-52621715,62.5,66.66666666666666,64.51612903225806
160605_chittaggong_sp_wife_killed,55.00000000000001,50.0,52.38095238095239
news-40867894,35.294117647058826,83.33333333333334,49.58677685950414
news-45387880,87.5,50.0,63.63636363636363
news-48795028,56.25,83.33333333333334,67.16417910447763
news-55467465,53.84615384615385,33.33333333333333,41.17647058823529
news-44118154,69.23076923076923,83.33333333333334,75.63025210084034
news-44842983,55.55555555555556,50.0,52.63157894736842
news-45007894,50.0,0.0,0.0
news-45744692,63.63636363636363,66.66666666666666,65.11627906976744
news-52829564,52.63157894736842,83.33333333333334,64.51612903225808
news-48808226,41.37931034482759,50.0,45.28301886792453
news-55761742,75.0,100.0,85.71428571428571
news-57063900,58.333333333333336,83.33333333333334,68.62745098039217
news-39614808,66.66666666666666,66.66666666666666,66.66666666666666
news-46797204,61.53846153846154,66.66666666666666,64.0
news-48324350,50.0,83.33333333333334,62.5
news-51264653,64.70588235294117,50.0,56.41025641025641
news-47648503,60.0,83.33333333333334,69.76744186046513
news-56931107,69.23076923076923,50.0,58.064516129032256
news-40319155,52.94117647058824,33.33333333333333,40.9090909090909
160418_traficked_bangladeshi_women_unlawfully_kept_in_indian_jails,62.96296296296296,50.0,55.73770491803279
news-52518908,88.23529411764706,50.0,63.82978723404255
news-47766524,57.14285714285714,50.0,53.33333333333333
